title,storeCode,location_id,address,city,state,postalCode,latitude,longitude,place_id,maps_url,status
Citykart,SHR,locations/7220472693029764933,"Hospital Road, Benusar Buzurg, Near Aditya Medical Hall",Siwan,Bihar,841227,26.2319993,84.3708665,ChIJSRv_EgD9kjkRZxBUmTmLJnw,,OPEN
CityKart Gaya,GKG,locations/17487774382518592625,"Patna - Gaya Road, Murarpur, Near Petrol Pump",Gaya,Bihar,823001,24.8003601,85.0128129,ChIJox9jewAr8zkRDaGdRvBJ8To,,OPEN
Citykart Rajajipuram Lucknow,LRP,locations/934661077809231093,"Shaheed Bhagat Singh Marg, Rajajipuram, Near Raju Srivastav Tiraha",Lucknow,Uttar Pradesh,226017,26.8407362,80.8768329,ChIJw5rSLMT_mzkR348QW-679V0,,OPEN
Citykart Mainpuri,MNP,locations/9417408338729566900,"Hotel skyview, Bhawat chauraha, Infront of Police station",Mainpuri,Uttar Pradesh,205001,27.2194353,79.0391721,ChIJwbcOWq2XdTkRitE886m38pA,,OPEN
Citykart Gorakhnath Road,GKT,locations/9014045423599224472,"Gorakhnath Bridge, North Humayunpur, Near Allahabad Bank",Gorakhpur,Uttar Pradesh,273015,26.765566,83.3578128,ChIJCzvcegBFkTkRnFPKP6NseDQ,,OPEN
CityKart Arrah,ANM,locations/13391665095823942873,"No. 419/214-215/169, Rajendra Nagar, Nawada, Opposite SBI Branch",Bhojpur,Bihar,802301,25.5544391,84.6666393,ChIJF7qC3vdfjTkRxmlCB76ibrs,,OPEN
Citykart Rafiganj Aurangabad,ARG,locations/13532998304095428905,"Dwarika Complex, Near Dak Bungalow Road, Rafiganj, Aurangabad",Aurangabad,Bihar,824125,24.8133585,84.6293595,ChIJc9oQy1MhjTkRcq9h4GhmiMM,,OPEN
Citykart Banka,BNK,locations/12600020447145987864,"Bus Stand, Banka Central Mall, near Kotaria, Banka",Banka,Bihar,813102,24.8802022,86.9230346,ChIJPc28XeVV8DkRJ1ai1hRNQpY,,OPEN
Citykart,PNA,locations/904302761529761652,"Roy Complex, Purnia - Siliguri Road, near Megashop, Navratan Hatta",Purnia,Bihar,854301,25.7798895,87.479082,ChIJD3N73nT57zkRnnwFDLWTTGY,,OPEN
Citykart Bilasipara,BLP,locations/11330752598465084328,"No. 3, Dhanhati Nayapara Road, Ward No.3, Nayapara, Near Bilasipara Kali Bari",Bilasipara,Assam,783348,26.2310076,90.2312181,ChIJA2LyBABnWDcRZ5rSJlfLB2A,,OPEN
Citykart Biraul Darbhanga,DBL,locations/15441391558233478132,"Pokhram - Biraul Road, Supaul Bazar, Near Bus Stand",Biraul,Bihar,847203,25.9450889,86.2439008,ChIJSZW426jGwwsRbcIkUGjjQ9A,,OPEN
Citykart Jamalpur,JML,locations/9550494074023834737,"Mahatma Gandhi Road, Near Trends",Jamalpur,Bihar,811214,25.3210818,86.492718,ChIJkQGU_XXt8TkR-waoQJNTlVs,,OPEN
Citykart Jandaha,JDV,locations/9753571714730122734,"ward no. 10, Amiya, Amia, Jandaha, Vaishali",Vaishali,Bihar,844505,25.7117577,85.5450999,ChIJQ401Hol57TkRAjcVYX-H-po,,OPEN
Citykart Dehri,DHI,locations/2902450222523748145,"No. 1204, Old GT Road, Rajputana Mohalla",Dehri,Bihar,821307,24.9028307,84.180156,ChIJVU0oJrGvjTkRaOxmhP-634I,,OPEN
CityKart Narkatiaganj,NKG,locations/371483213784794102,"No. 16, Main Road, Near Punjab National Bank",Narkatiaganj,Bihar,845455,27.1080479,84.4678834,ChIJc0WFCACdlDkRNLt3-SqYrBc,,OPEN
Citykart Vrindavan Park Lucknow,LVP,locations/7787103841262658510,"No. 12, Raebareli Road, Haibat Mau Mawaiya, Near KFC",Lucknow,Uttar Pradesh,226014,26.7500226,80.9498346,ChIJSbrrxnD7mzkRJrOJawCh72s,,OPEN
Citykart Susuwahi,VSW,locations/1872551687392212468,"Union Bank, Newada, Near Hotel Swarna",Varanasi,Uttar Pradesh,221011,25.2571712,82.9802962,ChIJ0bcHXgAzjjkRlIJeLrAUCD0,,OPEN
Citykart,RGA,locations/7132707901936321027,"National Highway 127D, Gandhibari",Rangia,Assam,781354,26.4390557,91.6227004,ChIJTdcYtnWzWzcRrT2za9CKdCs,,OPEN
Citykart,RBT,locations/1863603822161089711,Tagore Nagar,Robertsganj,Uttar Pradesh,231216,24.683854,83.0662942,ChIJMfE7hrT5jjkR02mX9rLHQSE,,OPEN
Citykart Donar chowk Darbhanga,DDC,locations/8298849777454278267,"Sh 56, Donar, Near Mango Furniture",Darbhanga,Bihar,846004,26.1444149,85.9056753,ChIJCSgb_tu57TkRa6kojSK6-ds,,OPEN
Citykart Jogbani,JGB,locations/10333988545235304845,"No. 699-704, Main Road",Jogbani,Bihar,854328,26.3997285,87.2635718,ChIJY22KiVR17zkRgFC64TbmiNE,,OPEN
Citykart,GLA,locations/4829374144277874167,Sadar chauraha,Gola,Uttar Pradesh,262802,28.0776498,80.4716744,ChIJz2yxirRDnzkRR3VKwvn9pqk,,OPEN
Citykart,RBL,locations/8338061301906382194,"Degree College Chauraha, Indira Nagar, Near Bharat Petroleum",Raebareli,Uttar Pradesh,229001,26.2169865,81.2455079,ChIJO9wwTDGhmzkR374DFoAOEjo,,OPEN
CityKart,DBR,locations/17921149747940005826,"Talkie House Road, jhalukpora, Opp. Dibru Mobile",Dibrugarh,Assam,786001,27.4810654,94.9057816,ChIJETNVMheYQDcRNyT7yQSq7eE,,OPEN
CityKart Naharlagun,NRL,locations/4628238245604534216,"Mountain View Restaurant, Main Road, Sector F, Near Lagun Bridge",Naharlagun,Arunachal Pradesh,791110,27.1019697,93.6913687,ChIJPcCfh2oBRDcRwmqL_wfYwHk,,OPEN
Citykart Lalganj,VSH,locations/2312818807515598651,"Piprahia - Bhagwanpur Rd, Lalganj, Bihar",Vaishali,Bihar,844121,25.8664224,85.1813151,ChIJr5JLSQVF7TkR67bImQpCIFA,,OPEN
Citykart,SLC,locations/11820650528706378344,"Premtalla Road, Ambicapatty, Opp. Big Bazar",Silchar,Assam,788001,24.8227967,92.7991858,ChIJj6ryvV1KTjcRAkvpe_Ixsq8,,OPEN
Citykart Barh,BAH,locations/16291651366551982880,"No. 3, Station Road, Station Bazar, Near Vishwakarma Temple",Barh,Bihar,803213,25.4647803,85.7050159,ChIJ20lTdwB78jkR56rl25hsZ1k,,OPEN
Citykart Shivpuri,SVP,locations/14586476405371029696,"Shri Jagdeesh Tower, Hospital Chouraha, Court Road Shivpuri",Shivpuri,Madhya Pradesh,473638,25.4258657,77.652934,ChIJWy5drne_cDkRyw1Lz5CzpRo,,OPEN
Citykart Lakhenagar Raipur,RLN,locations/3963622129009739377,"Bridge Complex, Mahadev Ghat Main Road, Lakhenagar, Raipur",Raipur,Chhattisgarh,492001,21.2367967,81.6187014,ChIJmeHCo0DdKDoRtoZOM2CL1hU,,OPEN
Citykart Jharsuguda,JHG,locations/6484713366564073836,"Hotel Mehgdoot Complex, Jharsuguda Town Main Road, Purani Basti, Beside Banka Jewellers",Jharsuguda,Odisha,768201,21.8615954,84.0199667,ChIJRdmDWNDlIDoRLKIEtT2hRxk,,OPEN
Citykart Jagdalpur,JGD,locations/17779110285834330936,"Aghanpur, Guru Govind Singh Ward, Bastar, Jagdalpur",Jabalpur,Chhattisgarh,494001,19.0920615,82.000701,ChIJ_cGGWQATMDoRrl_e6RE786k,,OPEN
Citykart Aurangabad OLD GT Road,ARN,locations/14509498430036928552,"No. 142/150/23, Old GT Road, Yamuna Nagar, Near SBI ATM",Aurangabad,Bihar,824101,24.7491598,84.3796462,ChIJkfI_uLP9jDkR7yKv9BHZA58,,OPEN
Citykart Banmankhi Purnia,PBA,locations/348523435773123785,"Queens Court, Beside Indian Oil Petrol Pump, Bus Stand Road, Banmankhi, Purnia",Purnia,Bihar,854202,25.893756,87.194687,ChIJFeTYnGTD7zkRbBC7KT7RTt4,,OPEN
Citykart,DPT,locations/1186867445634760719,"Danapur - Bankipur Road, Yadav Colony, Yadav Colony, Opposite Bharat Petroleum",Patna,Bihar,800011,25.6471016,85.087314,ChIJgwl5u2hX7TkR7hGMrr97UNI,,OPEN
CityKart Ramnagar,VRN,locations/13528199371522460864,"Fort Road, Opp. Kashi Italy",Ramnagar,Uttar Pradesh,221008,25.2703441,83.0266184,ChIJZYSbfgAxjjkRd3YMrVG30GI,,OPEN
Citykart Raniganj,RNG,locations/7910686186190730144,"Gokul Sweets, Bhargama mor, Near HDFC Bank Raniganj.",Araria,Bihar,854311,26.0849588,87.2347963,ChIJx0PjvmaV7zkRfq2MS88UHxI,,OPEN
Citykart Katihar Mirchaibari chowk,KMC,locations/17097954727149256011,"NH 31, Mirchaibari, Opposite ICICI Bank",Katihar,Bihar,854105,25.556589,87.5567326,ChIJYW0aDfGr-jkRIox0s338Scg,,OPEN
Citykart civil line Sultanpur,STN,locations/7860737105633604596,"Varanasi - Lucknow Road, Beside Galla Mandi",Sultanpur,Uttar Pradesh,228001,26.2649367,82.072344,ChIJQR1g86p9mjkRRaec95buCdY,,OPEN
Citykart Agartala,AGT,locations/6056896429201299805,"1st Floor, Hari Ganga Basak Road, Melarmath, Dhaleswar",Agartala,Tripura,799001,23.8289584,91.2720105,ChIJB_Z1_rX1UzcRrglsuTMy62g,,OPEN
Citykart,JGR,locations/11790746662713896970,"Gwalior Road, Loha Mandi, Near LIC HFL Office",Jhansi,Uttar Pradesh,284001,25.4556046,78.5662228,ChIJd15kfX93dzkRoT2JrW-3aYk,,OPEN
Citykart paharpur Azamgarh,AZM,locations/7793304463681749369,"Plot No. 188, Takia, Paharpor Tehsil Sadar",Azamgarh,Uttar Pradesh,276001,26.0722191,83.1855541,ChIJs-G3yrijkTkRo1BhGD5GNe4,,OPEN
Citykart Saharsa,SRA,locations/16968713888033510875,"No. 21, Dharamshala Road, Naya Bazar, Near ICICI Bank",Saharsa,Bihar,852201,25.8759498,86.5917489,ChIJwUsbLyY97jkReAYDPfwEWe0,,OPEN
Citykart Udhampur,UBS,locations/16319559205576578194,"Om Mohani Kailu Complex, Near Bus Stand, Udhampur",Udhampur,Jammu and Kashmir,182101,32.9241503,75.1349089,ChIJFQ4JeAXTHTkR1q_MISKwCk8,,OPEN
CityKart,BIA,locations/14672493451281971602,"No. 8, Shubham Tower, Chowk Station Road, Bahadurpur, Near Police Booth",Ballia,Uttar Pradesh,277001,25.758308,84.1492897,ChIJOfcN-d1kkjkRvV_2TeT6z2s,,OPEN
Citykart Sultanpur District Hospital,STP,locations/17986949187195220863,"No. 228/2/5&6/3, Sultanpur Kurwar Civil Line, Opposite District Hospital",Sultanpur,Uttar Pradesh,228001,26.2629297,82.0701829,ChIJc5uiuXp9mjkR2H9vGYRnsDk,,OPEN
Citykart Shrinagar Siwan,SSN,locations/11975970080950360055,"Izhar Complex, Opposite Canara Bank Near Kachari Station, Shrinagar, Siwan",Siwan,Bihar,841226,26.227067,84.3467707,ChIJvdTcfvD_kjkRq9RF_MvU-8o,,OPEN
Citykart Begusarai,BGI,locations/15333541317175894647,"Kachahari Road, Sarvodaya Nagar, Near 1st Lady The Men's",Begusarai,Bihar,851101,25.4158991,86.1348631,ChIJE8ON4ykb8jkRCWmHVHn08Y0,,OPEN
"Citykart Chetganj, Varanasi",VLP,locations/7656885962797830931,"C-19/115-116 Naseman, Lallapura Khurd,, Chetganj",Varanasi,Uttar Pradesh,221001,25.4812877,82.9750088,ChIJBfAPH18rjjkRBzlM2UYtsEw,,OPEN
Citykart,BPT,locations/3465218073603013568,"Plot No: 85, LCN Road",Barpeta,Assam,781301,26.3277086,91.006773,ChIJoR7d7TedWTcRMkD-2NopjUc,,OPEN
Citykart Balaganj Lucknow,LBL,locations/3954709386895680397,"No. 3 - 603/1, Hardoi Road, Balaganj, Opp. Jeevani Medical Store",Lucknow,Uttar Pradesh,226003,26.8731291,80.8824109,ChIJ7QqULKD_mzkRUWjCuvMaLkE,,OPEN
Citykart Malihabad Lucknow,LMD,locations/9579528954753850655,Near Sbi Bank Mall Road Malihabad Chauraha Lucknow,Lucknow,Uttar Pradesh,226102,26.9272042,80.7115555,ChIJJbZMZ-WpnjkRXQQ1OKC64dI,,OPEN
Citykart,NGZ,locations/2859398705904746508,"Doctor Shyam Prasad Mukh Marg, Ram Garhi, Lohia Nagar, Near Bhuvika Medicare",Ghaziabad,Uttar Pradesh,201003,28.6706725,77.4318716,ChIJYVrLBQDxDDkR9m7dUCKU5Ms,,OPEN
Citykart Bilaspur,BAC,locations/2277428039004950174,"TR plaza, Ward no. 25, Kranti Kumar Bhartiya Nagar, Beside Star Children , Hospital, Agrasen Chowk, Magarpara Road, Bilaspur",Bilaspur,Chhattisgarh,495001,22.0770829,82.1504641,ChIJhcggt3oLKDoRwpCvqogX4xo,,OPEN
Citykart Dhampur,DMB,locations/319333219363829830,Kalagarh road near Bharat Hero agency's dhampur Bijnor,Bijnor,Uttar Pradesh,246761,29.310235,78.5148436,ChIJ573Y5n7JCzkR0AsXQR1a4FM,,OPEN
CityKart Anantnag,ANG,locations/15063642197178606798,"Narchoor Complex, Main Road, Janglat Mandi, Opp. District Hospital",Anantnag,Jammu and Kashmir,192101,33.7250667,75.1522099,ChIJRyhgWfMF4jgRPAaxCa1nsAw,,OPEN
Citykart Muzaffarpur Aghoria Bazar,MPR,locations/15372086378086398890,"Om Tower, Amgola Road, Aghoria Bazar, Saadpur",Muzaffarpur,Bihar,842002,26.1089355,85.3891824,ChIJu73jXAIR7TkRpiQw_NQkSC8,,OPEN
Citykart Purnia Subhash nagar,PNB,locations/8448017756157431271,"KUNWAR JEE BUSINESS COMPLEX, N.h 31, Subhash Nagar",Purnia,Bihar,854301,25.7642563,87.4696748,ChIJjULsZS_57zkRagdn9hhMAH0,,OPEN
Citykart Matiyari Chouraha Lucknow,LMT,locations/15459100098678895417,"Siromani Square, Deva Road, Matiyari, Kamta, Near Maruti Suzuki",Lucknow,Uttar Pradesh,226010,26.8820685,81.0405362,ChIJV77iNprjmzkRqtPvqsNbQII,,OPEN
CityKart Ghaziabad,GNM,locations/7856213231684703067,"Thapar Plaza, Grand Trunk Rd, Sector 5, Daulatpura, Opp. Santosh Sudarshan Hospital",Ghaziabad,Uttar Pradesh,201001,28.6488502,77.4428121,ChIJJaPbBiHxDDkRMRAGJp0OqDY,,OPEN
Citykart Kacchi Dargah Patna,PKD,locations/17099626611806084595,"Alampur, Kacchi Dargah, Jethuli, Patna City",Patna,Bihar,803201,25.5469784,85.2773351,ChIJSbAg2_6f8jkRW9crdXORLbU,,OPEN
CityKart,ALC,locations/1985251915844205486,"No. 18, Sardar Patel Marg, Civil Lines, Near CaratLane Jewellery",Prayagraj,Uttar Pradesh,211001,25.4569448,81.8352,ChIJk9Tug8LKmjkRLvgkFEb1QTw,,OPEN
Citykart Etawah,ETW,locations/6090586465917906739,"No. 5, Rajshree Palace, Mall Godown Road, Chogurjee Nagar",Etawah,Uttar Pradesh,206001,26.7848888,79.0220419,ChIJVVlQHjHhdTkR2-WZsypQURg,,OPEN
Citykart sulemsarai,SSR,locations/9483025698074883108,"No. 261&214, Grand Trunk Road, beside Temple, Sulem Sarai, Dhoomanganj",Prayagraj,Uttar Pradesh,211011,25.4477552,81.7865108,ChIJo8si343LmjkRGUIYVTWWX_s,,OPEN
Citykart Bakshi ka Talab Lucknow,LBK,locations/3561648851735394523,"Sitapur Road, Bakshi Ka Talab ,Near Sbi Bank, Lucknow",Lucknow,Uttar Pradesh,227202,26.9925054,80.9198945,ChIJ979nEtpRmTkROsH9HMd9FBY,,OPEN
Citykart,UNO,locations/8124563158871805325,"Narendra Nagar, Sharda Nahar, Beside Thakur Bindanarayanji Temple",Unnao,Uttar Pradesh,209801,26.5440151,80.4833524,ChIJV5wfeacVnDkRCMuBr05-bxE,,OPEN
Citykart Colonelganj Gonda,GCG,locations/16998098327707021590,"Ashirwad Bhawan, Near Sakrauha Chowraha, Lucknow-Gonda Road",Gonda,Uttar Pradesh,271502,27.1310186,81.6941998,ChIJpf2Gd2qRmTkRWp8yisAsV2I,,OPEN
Citykart samba,SBA,locations/8335537530024519414,"H477+HCR, near fun bytes, Sabzi Mandi","Samba, Palth",Jammu and Kashmir,184121,32.5639359,75.1134531,ChIJexZabgAjHDkRb5Up9unrD74,,OPEN
CityKart Burari,NBR,locations/9709210340401200369,"Shri Ram Residency Tower, 100 Feet Rd, Conductor Colony, Burari, Opp. Gravis",New Delhi,Delhi,110084,28.7538498,77.1987803,ChIJp90A-9H_DDkRhpsX8oE9knE,,CLOSED_PERMANENTLY
Citykart Hospital Road Motihari,MTR,locations/14000316105908594638,"Hospital Road, Chhatauni, Opp. Verma Telecom",Motihari,Bihar,845401,26.6487486,84.9299744,ChIJvWwL87w1kzkRqdiDWYBa1Ic,,OPEN
Citykart Phulbani,PHB,locations/18025133178633853983,"State Highway 1, Amalpada, Opp. State Bank Of India ATM",Phulbani,Odisha,762001,20.4729262,84.2357694,ChIJPxPbDQCzIzoRfoeGyUU6qR8,,OPEN
Citykart Hazaribagh,HZG,locations/1258151756160880332,"Hazaribagh - Bagodar Road, Hirabag, Beside HZB Tattoo & Mehandi Studio",Hazaribagh,Jharkhand,825301,23.997431,85.3737318,ChIJ-9pyGACd9DkRYh-MoXBrwC4,,OPEN
Citykart Bahraich,BHR,locations/7217619903297940228,"Kumar City Mall, Kumar Talkies Road, Brahmnipura, Opp. Kanoongopura Police Station",Bahraich,Uttar Pradesh,271801,27.5715136,81.6026197,ChIJm9i-eEapmTkR3vGTn_SIdbQ,,OPEN
Citykart Pharenda,PHR,locations/13637064643314671701,"No. 219, Raghunath Pur - Kashipur Rd, Ambedkar Chowk, Anand Nagar",Maharajganj,Uttar Pradesh,273155,27.1018532,83.2728711,ChIJOwZrhQK1ljkRf6tLV3SBhs8,,OPEN
Citykart Nawada,NDA,locations/7181165142179644469,"Sebat Complex, Mirdah Toli, Dr. Sultan Ahmad Colony, Near Bus Depot",Nawada,Bihar,805110,24.8808046,85.543635,ChIJXXaSsrD_8jkRboWbW0ViVV4,,OPEN
Citykart Padrauna,PDR,locations/16160903976810757449,"K SQUARE, Kasia - Padrauna Road, Vatika Colony, Opp. Jaiswal Mobile",Padrauna,Uttar Pradesh,274304,26.8962905,83.9785024,ChIJYTFJLuWNkzkRkV6R0_z9xsk,,OPEN
Citykart Purvanchal Talkies Ballia,BPC,locations/13248162351560705421,"Near Purvanchal Cinema, NH-31, Bhrigu Ashram",Ballia,Uttar Pradesh,277001,25.7586143,84.1627378,ChIJ-RN3Ax1lkjkRaouzPm8v300,,OPEN
Citykart Hospital Road Madhubani,MDB,locations/16101887218394773142,"Station Road, Near PNB Bank Madhubani",Madhubani,Bihar,847211,26.3478544,86.0725987,ChIJy5idHwDN7TkR_KZyvxYOhUE,,OPEN
Citykart,ALK,locations/2351774952271411061,"Colonelganj, George Town, Opposite Swaraj Bhawan Museum",Prayagraj,Uttar Pradesh,211002,25.4594456,81.8592009,ChIJR-wSJgDLmjkR0H33bCz_Brk,,OPEN
CityKart Mall,HPR,locations/9977830710850019391,"Uk Shukla Complex, Cinema Road, Yadav Chowk, Near SBI Bank",Hajipur,Bihar,844101,25.6951211,85.2128472,ChIJo4vUSTxc7TkRJY9Wx7nLvJM,,OPEN
CityKart Khagaria,KRC,locations/12070739535033546664,"K. No. 156, P. No. 5, Gupta Market, Rajendra Chowk, Ram Bahadur Singh Bazar",Khagaria,Bihar,851204,25.5054318,86.4701579,ChIJX9iATHD78TkR5oVhugm-86I,,OPEN
Citykart Medical college Road Jhansi,JHM,locations/5430159459046106147,"Kanpur - Jhansi Hwy, Bundelkhand University, Near HDFC Bank",Jhansi,Uttar Pradesh,284128,25.4568914,78.6126685,ChIJjQreDwB3dzkR_wc_che6QFI,,OPEN
Citykart Khagaul Patna,PKM,locations/8951363741148478384,"Aparna Complex, Front of BMP-16, Phulwari Sharif, Patna",Patna,Bihar,801505,25.5778402,85.0567859,ChIJD9PXRUSp8jkR2nrYoHBkXfs,,OPEN
Citykart Alambagh Lucknow,LAM,locations/11337291795033110711,"Kanpur Road, Alambagh, Near Ajanta Hospital",Lucknow,Uttar Pradesh,226005,26.8154682,80.9050657,ChIJUartaCT8mzkRl5ySY8Crr94,,OPEN
Citykart Shopian,SPN,locations/4141502434191417214,"Kuchay Complex, College Road, Gagran, Near Turay Traders",Shopian,Jammu and Kashmir,192303,33.7131036,74.8358378,ChIJB32wZ3774TgRHfvmg7vUJ2I,,OPEN
CityKart Aurangabad,ABD,locations/6754844327730050583,"No. 328, Mg Road, New Area, Ramesh Chauk, Ward No 11, Opp. Asian Paints",Aurangabad,Bihar,824101,24.7522203,84.3727223,ChIJ9YXtVWX9jDkRtElPwH0uOzo,,OPEN
Citykart Kulgam,KDC,locations/1107954127572895356,"Near J&K Bank Opp. Court Road, Kulgam, Jammu & Kashmir",Kulgam,Jammu and Kashmir,192231,33.6471388,75.0144226,ChIJk7rpaTIB4jgRhnb2KjicFME,,OPEN
Citykart Dwarka Mor,NDM,locations/15117594426663907577,"No. 751, Main Road, Uttam Nagar, Web India Process",Delhi,Delhi,110059,28.6203581,77.0398159,ChIJ1Q-_PNoFDTkRpi_HRDWb7kI,,OPEN
Citykart,FBD,locations/876365093808858926,Hanumat Nagar,Faizabad,Uttar Pradesh,224001,26.7621186,82.1421267,ChIJPU2kQ3AHmjkRxjNTXJPDSi4,,OPEN
Citykart Bilaspur Sipat Chowk,BSC,locations/3524276793761328360,"Sipat Chowk, Sarkanda, Bilaspur",Bilaspur,Chhattisgarh,495006,22.0956697,82.1451786,ChIJl7hFgqMLKDoRuCXagWuPOhw,,OPEN
